Age,Fare,Family,Survived
22,7.25,1,0
38,71.2833,1,1
26,7.925,0,1
35,53.1,1,1
35,8.05,0,0
,8.4583,0,0
54,51.8625,0,0
2,21.075,4,0
27,11.1333,2,1
14,30.0708,1,1
4,16.7,2,1
58,26.55,0,1
20,8.05,0,0
39,31.275,6,0
14,7.8542,0,0
55,16,0,1
2,29.125,5,0
,13,0,1
31,18,1,0
,7.225,0,1
35,26,0,0
34,13,0,1
15,8.0292,0,1
28,35.5,0,1
8,21.075,4,0
38,31.3875,6,1
,7.225,0,0
19,263,5,0
,7.8792,0,1
,7.8958,0,0
40,27.7208,0,0
,146.5208,1,1
,7.75,0,1
66,10.5,0,0
28,82.1708,1,0
42,52,1,0
,7.2292,0,1
21,8.05,0,0
18,18,2,0
14,11.2417,1,1
40,,1,0
27,21,1,0
,7.8958,0,0
3,41.5792,3,1
19,7.8792,0,1
,8.05,0,0
,15.5,1,0
,7.75,0,1
,21.6792,2,0
18,17.8,1,0
7,39.6875,5,0
21,7.8,0,0
49,76.7292,1,1
29,26,1,1
65,61.9792,1,0
,35.5,0,1
21,10.5,0,1
28.5,7.2292,0,0
5,27.75,3,1
11,46.9,7,0
22,7.2292,0,0
38,80,0,1
45,83.475,1,0
4,27.9,5,0
,27.7208,0,0
,15.2458,2,1
29,10.5,0,1
19,8.1583,0,0
17,7.925,6,1
26,8.6625,2,0
32,10.5,0,0
16,46.9,7,0
21,73.5,0,0
26,14.4542,1,0
32,56.4958,0,1
25,7.65,0,0
,7.8958,0,0
,8.05,0,0
0.83,29,2,1
30,12.475,0,1
22,9,0,0
29,9.5,0,1
,,0,1
28,47.1,0,0
17,10.5,0,1
33,15.85,3,1
16,34.375,4,0
,8.05,0,0
23,263,5,1
24,8.05,0,0
29,8.05,0,0
20,7.8542,0,0
46,61.175,1,0
26,20.575,3,0
59,7.25,0,0
,8.05,0,0
71,34.6542,0,0
23,63.3583,1,1
34,,1,1
34,26,1,0
28,7.8958,0,0
,7.8958,0,0
21,77.2875,1,0
33,8.6542,0,0
37,7.925,2,0
28,7.8958,0,0
21,7.65,0,1
,7.775,0,1
38,7.8958,0,0
,24.15,1,1
47,52,0,0
14.5,14.4542,1,0
22,8.05,0,0
20,9.825,1,0
17,14.4583,0,0
21,7.925,0,0
70.5,7.75,0,0
29,21,1,0
24,247.5208,1,0
2,31.275,6,0
21,73.5,2,0
,8.05,0,0
32.5,30.0708,1,0
32.5,13,0,1
54,77.2875,1,0
12,11.2417,1,1
,7.75,0,0
24,7.1417,0,1
,22.3583,2,1
45,6.975,0,0
33,7.8958,0,0
20,7.05,0,0
47,14.5,1,0
29,,1,1
25,13,0,0
23,15.0458,0,0
19,26.2833,2,1
37,53.1,1,0
16,9.2167,0,0
24,79.2,0,0
,15.2458,2,0
22,7.75,0,1
24,15.85,1,1
19,6.75,0,0
18,11.5,0,0
19,36.75,2,0
27,7.7958,0,1
9,34.375,4,0
36.5,26,2,0
42,13,0,0
51,12.525,0,0
22,66.6,1,1
55.5,8.05,0,0
40.5,14.5,2,0
,7.3125,0,0
51,61.3792,1,0
16,7.7333,0,1
30,8.05,0,0
,8.6625,0,0
,69.55,10,0
44,16.1,1,0
40,15.75,0,1
26,,0,0
17,8.6625,0,0
1,39.6875,5,0
9,20.525,2,1
,55,1,1
45,27.9,5,0
,25.925,0,0
28,56.4958,0,0
61,33.5,0,0
4,29.125,5,0
1,11.1333,2,1
21,7.925,0,0
56,30.6958,0,0
18,7.8542,2,0
,25.4667,4,0
50,28.7125,0,0
30,13,0,0
36,0,0,0
,69.55,10,0
,15.05,0,0
9,31.3875,6,0
1,39,3,1
4,22.025,2,1
,50,0,0
,15.5,1,1
45,26.55,0,1
40,15.5,2,0
36,7.8958,0,0
32,13,0,1
19,13,0,0
19,7.8542,1,1
3,26,2,1
44,,0,1
58,146.5208,0,1
,7.75,0,0
42,8.4042,1,0
,7.75,0,1
24,13,0,0
28,9.5,0,0
,69.55,10,0
34,6.4958,0,0
45.5,7.225,0,0
18,8.05,0,1
2,10.4625,1,0
32,15.85,1,0
26,18.7875,0,1
16,7.75,0,1
40,31,0,1
24,7.05,0,0
35,,0,1
22,7.25,0,0
30,13,0,0
,7.75,1,0
31,113.275,1,1
27,7.925,0,1
42,27,1,0
32,76.2917,0,1
30,10.5,0,0
16,8.05,0,1
27,13,0,0
51,8.05,0,0
,7.8958,0,0
38,90,1,1
22,9.35,0,0
19,10.5,0,1
20.5,7.25,0,0
18,13,0,0
,,4,0
35,83.475,1,1
29,7.775,0,0
59,13.5,0,0
5,31.3875,6,1
24,10.5,0,0
,7.55,0,0
44,26,1,0
8,26.25,2,1
19,10.5,0,0
33,12.275,0,0
,14.4542,1,0
,15.5,1,1
29,10.5,0,0
22,7.125,0,0
30,7.225,0,0
44,90,2,0
25,7.775,0,0
24,14.5,2,1
37,52.5542,2,1
54,26,1,0
,7.25,0,0
29,,2,0
62,26.55,0,0
30,16.1,1,0
41,20.2125,2,0
29,15.2458,2,1
,79.2,0,1
30,86.5,0,1
35,512.3292,0,1
50,,1,1
,7.75,0,0
3,31.3875,6,1
52,79.65,2,0
40,0,0,0
,7.75,0,0
36,10.5,0,0
16,,5,0
25,7.775,1,1
58,153.4625,1,1
35,135.6333,0,1
,31,0,0
25,,0,1
41,19.5,1,1
37,29.7,1,0
,7.75,0,1
63,77.9583,1,1
45,7.75,0,0
,0,0,0
7,29.125,5,0
35,20.25,2,1
65,7.75,0,0
28,,0,0
16,9.5,0,0
19,8.05,0,1
,26,0,0
33,8.6625,0,0
30,9.5,0,1
22,7.8958,0,0
42,13,0,1
22,7.75,0,1
26,78.85,0,1
19,91.0792,1,1
36,12.875,0,0
24,8.85,0,0
24,7.8958,0,0
,27.7208,0,0
23.5,7.2292,0,0
2,151.55,3,0
,30.5,0,1
50,247.5208,1,1
,7.75,0,1
,23.25,2,1
19,0,0,0
,12.35,0,1
,8.05,0,0
0.92,,3,1
,110.8833,0,1
17,108.9,1,1
30,24,1,0
30,56.9292,0,1
24,83.1583,0,1
18,262.375,4,1
26,26,2,0
28,7.8958,0,0
43,26.25,2,0
26,7.8542,0,1
24,,1,1
54,14,0,0
31,164.8667,2,1
40,134.5,2,1
22,7.25,0,0
27,7.8958,0,0
30,12.35,0,1
22,29,2,1
,69.55,10,0
36,135.6333,0,1
61,6.2375,0,0
36,,0,1
31,20.525,2,1
16,57.9792,1,1
,23.25,2,1
45.5,28.5,0,0
38,153.4625,1,0
16,18,2,0
,133.65,1,1
,7.8958,0,0
29,,1,0
41,134.5,0,1
45,8.05,0,1
45,35.5,0,0
2,26,2,1
24,263,5,1
28,13,0,0
25,13,0,0
36,13,0,0
24,13,0,1
40,13,0,1
,16.1,1,1
3,15.9,2,1
42,8.6625,0,0
23,9.225,0,0
,35,0,0
15,7.2292,2,0
25,17.8,1,0
,7.225,0,0
28,,0,0
22,55,1,1
38,13,0,0
,7.8792,0,1
,7.8792,0,1
40,27.9,5,0
29,27.7208,1,0
45,14.4542,1,0
35,7.05,0,0
,15.5,1,0
30,7.25,0,0
60,75.25,1,1
,7.2292,0,1
,7.75,0,1
24,69.3,0,1
25,55.4417,1,1
18,6.4958,1,0
19,8.05,0,0
22,,0,0
3,21.075,4,0
,82.1708,1,1
22,7.25,0,1
27,211.5,2,0
20,,0,0
19,7.775,0,0
42,227.525,0,1
1,15.7417,2,1
32,7.925,0,0
35,52,1,1
,7.8958,0,0
18,73.5,0,0
1,46.9,7,0
36,13,0,1
,7.7292,0,0
17,12,0,1
36,120,3,1
21,7.7958,0,1
28,7.925,2,0
23,113.275,1,1
24,16.7,2,1
22,7.7958,0,0
31,7.8542,0,0
46,26,0,0
23,10.5,0,0
28,12.65,0,1
39,,0,1
26,8.05,0,0
21,9.825,1,0
28,15.85,1,0
20,8.6625,0,0
34,21,1,0
51,7.75,0,0
3,18.75,2,1
21,7.775,0,0
,25.4667,4,0
,7.8958,0,0
,6.8583,0,0
33,90,1,1
,0,0,0
44,7.925,0,1
,8.05,0,0
34,32.5,2,1
18,13,2,1
30,,0,0
10,24.15,2,0
,7.8958,0,0
21,7.7333,0,0
29,7.875,0,0
28,14.4,2,0
18,20.2125,2,0
,7.25,0,0
28,26,1,1
19,26,0,1
,7.75,0,0
32,,0,1
28,26.55,0,1
,16.1,1,1
42,26,1,1
17,7.125,0,0
50,,1,0
14,120,3,1
21,34.375,4,0
24,18.75,5,1
64,263,5,0
31,10.5,0,0
45,26.25,2,1
20,9.5,0,0
25,7.775,1,0
28,13,0,1
,8.1125,0,1
4,81.8583,2,1
13,19.5,1,1
34,26.55,0,1
5,19.2583,3,1
52,30.5,0,1
36,27.75,3,0
,19.9667,1,0
30,27.75,0,0
49,89.1042,1,1
,8.05,0,0
29,7.8958,0,1
65,26.55,0,0
,51.8625,1,1
50,10.5,0,1
,7.75,0,0
48,26.55,0,1
34,8.05,0,0
47,38.5,0,0
48,13,0,0
,8.05,0,0
38,7.05,0,0
,,0,0
56,26.55,0,0
,7.725,0,0
0.75,,3,1
,7.25,0,0
38,8.6625,0,0
33,27.75,3,1
23,13.7917,0,1
22,9.8375,0,0
,52,0,0
34,21,1,0
29,7.0458,1,0
22,7.5208,0,0
2,12.2875,1,1
9,46.9,7,0
,0,0,0
50,8.05,0,0
63,9.5875,0,1
25,91.0792,1,1
,25.4667,4,0
35,90,1,1
58,29.7,0,0
30,8.05,0,0
9,15.9,2,1
,,1,0
21,7.25,0,0
55,30.5,0,0
71,49.5042,0,0
21,8.05,0,0
,14.4583,0,0
54,78.2667,1,1
,15.1,0,0
25,151.55,3,0
24,7.7958,0,0
17,8.6625,0,0
21,7.75,0,0
,7.6292,0,0
37,9.5875,0,0
16,86.5,0,1
18,108.9,1,0
33,26,2,1
,26.55,0,1
28,22.525,0,0
26,56.4958,0,1
29,7.75,0,1
,8.05,0,0
36,26.2875,0,1
54,,1,1
24,7.4958,0,0
47,34.0208,0,0
34,10.5,0,1
,24.15,0,0
36,,1,1
32,7.8958,0,0
30,,0,1
22,,0,0
,7.225,0,0
44,57.9792,1,1
,7.2292,0,0
40.5,7.75,0,0
50,10.5,0,1
,221.7792,0,0
39,7.925,0,0
23,11.5,3,0
2,26,2,1
,7.2292,0,0
17,7.2292,2,0
,22.3583,2,1
30,8.6625,0,0
7,26.25,2,1
45,26.55,0,0
30,106.425,0,1
,14.5,0,0
22,49.5,2,1
36,71,2,1
9,31.275,6,0
11,31.275,6,0
32,26,1,1
50,106.425,1,0
64,26,0,0
19,26,1,1
,13.8625,0,1
33,20.525,2,0
8,36.75,2,1
17,110.8833,2,1
27,26,0,0
,7.8292,0,0
22,7.225,0,1
22,7.775,0,1
62,26.55,0,0
48,39.6,1,1
,227.525,0,0
39,79.65,2,1
36,17.4,1,1
,7.75,0,0
40,7.8958,0,0
28,,0,0
,8.05,0,0
,8.05,0,0
24,24.15,2,0
19,7.8958,0,0
29,21.075,4,0
,7.2292,0,0
32,7.8542,0,1
62,10.5,0,1
53,51.4792,2,1
36,26.3875,0,1
,7.75,0,1
16,8.05,0,0
19,14.5,0,0
34,13,0,1
39,55.9,1,1
,14.4583,1,0
32,7.925,0,1
25,30,2,1
39,110.8833,2,1
54,26,0,0
36,40.125,0,0
,8.7125,0,0
18,79.65,2,1
47,15,0,0
60,79.2,2,1
22,8.05,0,0
,8.05,0,0
35,7.125,0,0
52,78.2667,1,1
47,7.25,0,0
,7.75,2,0
37,26,1,0
36,24.15,2,0
,33,0,1
49,0,0,0
,7.225,0,0
49,56.9292,1,1
24,27,3,1
,7.8958,0,0
,42.4,0,0
44,8.05,0,0
35,26.55,0,1
36,15.55,1,0
30,7.8958,0,0
27,30.5,0,1
22,41.5792,3,1
40,153.4625,0,1
39,31.275,6,0
,7.05,0,0
,15.5,1,1
,7.75,0,0
35,8.05,0,0
24,65,3,1
34,14.4,2,0
26,16.1,1,0
4,39,3,1
26,10.5,0,0
27,14.4542,1,0
42,52.5542,1,1
20,15.7417,2,1
21,7.8542,0,0
21,16.1,0,0
61,32.3208,0,0
57,12.35,0,0
21,77.9583,0,1
26,7.8958,0,0
,7.7333,0,0
80,30,0,1
51,7.0542,0,0
32,30.5,0,1
,,0,0
9,27.9,5,0
28,13,0,1
32,7.925,0,0
31,26.25,2,0
41,39.6875,5,0
,16.1,1,0
20,7.8542,0,0
24,69.3,0,1
2,27.9,5,0
,56.4958,0,1
0.75,19.2583,3,1
48,76.7292,1,1
19,7.8958,0,0
56,35.5,0,1
,7.55,0,0
23,,0,1
,7.8958,0,0
18,23,1,1
21,8.4333,0,0
,7.8292,0,1
18,6.75,0,0
24,73.5,2,0
,7.8958,0,0
32,15.5,2,0
23,13,0,0
58,113.275,2,0
50,133.65,2,1
40,7.225,0,0
47,,0,0
36,7.4958,0,0
20,7.925,1,1
32,73.5,2,0
25,13,0,0
,7.775,0,0
43,8.05,0,0
,52,1,1
40,39,2,1
31,52,1,0
70,10.5,0,0
31,,0,1
,0,0,0
18,7.775,0,0
24.5,8.05,0,0
18,9.8417,0,1
43,46.9,7,0
36,512.3292,1,1
,8.1375,0,0
27,76.7292,0,1
20,9.225,0,0
14,46.9,7,0
60,39,2,0
25,41.5792,3,0
14,39.6875,5,0
19,10.1708,0,0
18,7.7958,0,0
15,211.3375,1,1
31,57,1,1
4,13.4167,1,1
,56.4958,0,1
25,7.225,0,0
60,26.55,0,0
52,13.5,0,0
44,8.05,0,0
,7.7333,0,1
49,,2,0
42,7.65,0,0
18,227.525,1,1
35,26.2875,0,1
18,,1,0
25,7.7417,0,0
26,7.8542,1,0
39,26,0,0
45,13.5,0,1
42,26.2875,0,1
22,151.55,0,1
,15.2458,2,1
24,49.5042,0,1
,26.55,0,0
48,52,1,1
29,9.4833,0,0
52,13,0,0
19,7.65,0,0
38,227.525,0,1
27,10.5,0,1
,15.5,0,0
33,7.775,0,0
6,33,1,1
17,7.0542,1,0
34,13,0,0
50,13,0,0
27,53.1,1,1
20,8.6625,0,0
30,21,3,1
,7.7375,0,1
25,26,1,0
25,7.925,1,0
29,211.3375,0,1
11,18.7875,0,0
,0,0,0
23,13,0,0
23,13,0,0
28.5,16.1,0,0
48,34.375,4,0
35,512.3292,0,1
,7.8958,0,0
,7.8958,0,0
,30,0,1
36,78.85,1,0
21,262.375,4,1
24,16.1,1,0
31,7.925,0,1
70,71,2,0
16,20.25,2,0
30,13,0,1
19,53.1,1,0
31,7.75,0,0
4,23,2,1
6,12.475,1,1
33,9.5,0,0
23,7.8958,0,0
48,65,3,1
0.67,14.5,2,1
28,7.7958,0,0
18,11.5,0,0
34,8.05,0,0
33,86.5,0,1
,14.5,0,0
41,7.125,0,0
20,7.2292,0,1
36,,3,1
16,7.775,0,0
51,77.9583,1,1
,39.6,0,0
30.5,7.75,0,0
,24.15,1,0
32,8.3625,0,0
24,9.5,0,0
48,7.8542,0,0
57,10.5,0,0
,7.225,0,0
54,23,4,1
18,7.75,0,0
,7.75,0,0
5,12.475,0,1
,7.7375,0,0
43,211.3375,1,1
13,7.2292,0,1
17,57,1,1
29,30,0,0
,23.45,3,0
25,7.05,0,0
25,7.25,0,0
18,7.4958,0,1
8,29.125,5,0
1,20.575,3,1
46,79.2,0,0
,7.75,0,0
16,26,0,0
,69.55,10,0
,30.6958,0,0
25,7.8958,0,0
39,13,0,0
49,25.9292,0,1
31,8.6833,0,1
30,7.2292,0,0
30,24.15,2,0
34,13,0,0
31,26.25,2,1
11,120,3,1
0.42,8.5167,1,1
27,6.975,0,1
31,7.775,0,0
39,0,0,0
18,7.775,0,0
39,13,0,0
33,53.1,1,1
26,7.8875,0,0
39,24.15,0,0
35,10.5,0,0
6,31.275,6,0
30.5,8.05,0,0
,0,0,0
23,,0,0
31,37.0042,2,0
43,6.45,0,0
10,27.9,5,0
52,93.5,2,1
27,8.6625,0,1
38,0,0,0
27,12.475,1,1
2,39.6875,5,0
,6.95,0,0
,56.4958,0,0
1,37.0042,2,1
,7.75,0,1
62,80,0,1
15,14.4542,1,1
0.83,,2,1
,7.2292,0,0
23,7.8542,0,0
18,8.3,0,0
39,83.1583,2,1
21,8.6625,0,0
,8.05,0,0
32,56.4958,0,1
,29.7,0,1
20,7.925,0,0
16,10.5,0,0
30,31,0,1
34.5,6.4375,0,0
17,8.6625,0,0
42,7.55,0,0
,69.55,10,0
35,7.8958,0,0
28,33,1,0
,89.1042,1,1
4,31.275,6,0
74,7.775,0,0
9,15.2458,2,0
16,39.4,1,1
44,26,1,0
18,9.35,1,1
45,164.8667,2,1
51,26.55,0,1
24,19.2583,3,1
,7.2292,0,0
41,,2,0
21,11.5,1,0
48,25.9292,0,1
,69.55,10,0
24,13,0,0
42,13,0,1
27,13.8583,1,1
31,50.4958,0,0
,9.5,0,0
4,11.1333,2,1
26,7.8958,0,0
47,,2,1
33,5,0,0
47,9,0,0
28,24,1,1
15,7.225,0,1
20,9.8458,0,0
19,7.8958,0,0
,,0,0
56,83.1583,1,1
25,26,1,1
33,7.8958,0,0
22,10.5167,0,0
28,10.5,0,0
25,7.05,0,0
39,29.125,5,0
27,13,0,0
19,30,0,1
,23.45,3,0
26,,0,1
32,7.75,0,0
